ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-409-3p,MIMAT0001639,miRNA,173.5,162.52,123.86,123.65,80.9,146.2
hsa-miR-409-5p,MIMAT0001638,miRNA,20,26.34,20,20,20,20
hsa-miR-410-3p,MIMAT0002171,miRNA,21.74,20.17,20,20.18,23.64,20
hsa-miR-411-5p,MIMAT0003329,miRNA,24.59,28.13,20.14,36.43,20,20.68
hsa-miR-422a,MIMAT0001339,miRNA,23.61,29.71,20.87,24.78,33.17,20
hsa-miR-423-3p,MIMAT0001340,miRNA,43.53,43.89,46.62,27.64,36.33,27.26
hsa-miR-423-5p,MIMAT0004748,miRNA,43.6,44.84,41.97,28.65,23.61,34.98
hsa-miR-424-5p,MIMAT0001341,miRNA,37.57,43.84,47.19,43.31,24.76,32.53
hsa-miR-431-5p,MIMAT0001625,miRNA,76.43,76.55,52.51,34.98,41.92,66.71
hsa-miR-432-5p,MIMAT0002814,miRNA,93.59,83.27,68.59,68.54,46.8,71.14
hsa-miR-433-3p,MIMAT0001627,miRNA,92.66,90.59,77.8,74.8,45.37,72.23
hsa-miR-433-5p,MIMAT0026554,miRNA,20,20,20,22.84,20,20
hsa-miR-4435,MIMAT0018951,miRNA,20,20,20,20,20,184.95
hsa-miR-4443,MIMAT0018961,miRNA,37.34,61.14,66.11,79.25,45.52,55.67
hsa-miR-4454+hsa-miR-7975,MIMAT0018976,miRNA,637.78,1126.49,1164.93,737.76,630.25,635.01
hsa-miR-4455,MIMAT0018977,miRNA,44.98,60.41,44.26,48.74,66.6,37.51
hsa-miR-448,MIMAT0001532,miRNA,22.18,23.62,20,20,20,20
hsa-miR-4488,MIMAT0019022,miRNA,20,21.98,31.27,22.7,45.05,20
hsa-miR-449c-5p,MIMAT0010251,miRNA,20,20,20,46.03,20,20
hsa-miR-450a-5p,MIMAT0001545,miRNA,64.4,68.66,81.52,61.74,49.99,55.11
hsa-miR-4531,MIMAT0019070,miRNA,47.83,56.62,44.97,54.93,54.6,41.03
hsa-miR-4532,MIMAT0019071,miRNA,20,20.74,24.21,22.02,27.7,20
hsa-miR-4536-5p,MIMAT0019078,miRNA,42.3,46.34,34.98,44.92,58.62,30.78
hsa-miR-454-3p,MIMAT0003885,miRNA,20,20,20,32.75,20,20
hsa-miR-455-3p,MIMAT0004784,miRNA,47.16,31.06,40.92,27.94,61.36,29.97
hsa-miR-455-5p,MIMAT0003150,miRNA,20,21.69,20,20,22.05,20
hsa-miR-483-3p,MIMAT0002173,miRNA,48.37,47.84,33.91,36.03,27.3,43.23
hsa-miR-484,MIMAT0002174,miRNA,26.68,24.68,24.48,20.43,27.88,20.68
hsa-miR-485-3p,MIMAT0002176,miRNA,92.26,96.97,67.41,48.97,64.01,102.85
hsa-miR-487a-3p,MIMAT0002178,miRNA,39.09,38.26,21.64,24.9,27.84,33.68
hsa-miR-487b-3p,MIMAT0003180,miRNA,72.4,58.43,51.14,32.14,44.8,51.22
hsa-miR-490-3p,MIMAT0002806,miRNA,20.16,20.66,20,20,20,20
hsa-miR-490-5p,MIMAT0004764,miRNA,20,20,20,28.99,20,20
hsa-miR-491-3p,MIMAT0004765,miRNA,20,20,20,42.04,20,20
hsa-miR-492,MIMAT0002812,miRNA,20,20,20,20,20,30.93
hsa-miR-493-3p,MIMAT0003161,miRNA,26.41,20.74,20,20,20.36,39.64
hsa-miR-494-3p,MIMAT0002816,miRNA,201.89,114.05,38.82,76.73,74.38,88.26
hsa-miR-495-3p,MIMAT0002817,miRNA,91.12,79.17,76.5,85.77,49.74,60.22
hsa-miR-498,MIMAT0002824,miRNA,20.24,21.69,20.91,20,20,20
hsa-miR-499a-3p,MIMAT0004772,miRNA,25.61,33.94,24.99,30.06,23.29,22.6
hsa-miR-499b-3p,MIMAT0019898,miRNA,20,20.74,20,20,20,20
hsa-miR-5001-3p,MIMAT0021022,miRNA,20,20,20,20,20,21.43
hsa-miR-500a-5p+hsa-miR-501-5p,MIMAT0004773,miRNA,20,20,20,20,20,22.8
hsa-miR-502-5p,MIMAT0002873,miRNA,22.47,22.61,23.02,22.39,38.21,20
hsa-miR-503-3p,MIMAT0022925,miRNA,20,20,20,20.67,20,20
hsa-miR-503-5p,MIMAT0002874,miRNA,50.36,48.42,46.71,41.26,22.46,35.58
hsa-miR-504-5p,MIMAT0002875,miRNA,20,20,20,20,20.97,33.6
hsa-miR-505-3p,MIMAT0002876,miRNA,20,20,27.33,20,21.65,20
hsa-miR-508-5p,MIMAT0004778,miRNA,20,20,20.14,20,20,20
hsa-miR-513a-3p,MIMAT0004777,miRNA,20,20,20,20,20,22.67
hsa-miR-515-3p,MIMAT0002827,miRNA,20,20,20,20,20,23
hsa-miR-516b-5p,MIMAT0002859,miRNA,20,20,20,20,20,408.88
hsa-miR-518b,MIMAT0002844,miRNA,20,20,20,20,20,25.62
hsa-miR-518f-3p,MIMAT0002842,miRNA,20,20,50.47,20,20,20
hsa-miR-5196-3p+hsa-miR-6732-3p,MIMAT0021129,miRNA,49.61,48.29,56.9,51.24,87.25,43.66
hsa-miR-5196-5p,MIMAT0021128,miRNA,20,20,22.99,20,20,20
hsa-miR-519b-5p+hsa-miR-519c-5p+hsa-miR-523-5p+hsa-miR-518e-5p+hsa-miR-522-5p+hsa-miR-519a-5p,MIMAT0005454,miRNA,78.56,87.57,54.5,62,54.16,60.52
hsa-miR-519d-3p,MIMAT0002853,miRNA,25.28,25.28,20,22.36,20,20.23
hsa-miR-520a-5p,MIMAT0002833,miRNA,20,20,20,38.22,24.63,20.03
hsa-miR-520d-3p,MIMAT0002856,miRNA,42.4,59.09,58.53,53.95,72.79,32.93
hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,MIMAT0002855,miRNA,20,21.07,20,20,20,20
hsa-miR-520e,MIMAT0002825,miRNA,27.61,24.57,24.13,22.7,20,22.15
hsa-miR-520f-3p,MIMAT0002830,miRNA,20,20,20,20,21.23,159.19
hsa-miR-520h,MIMAT0002867,miRNA,20,21.07,20,20,26.53,20
hsa-miR-521,MIMAT0002854,miRNA,20,20,20,20,26.81,20
hsa-miR-522-3p,MIMAT0002868,miRNA,59.25,54.23,28.93,42.38,24.22,37.54
hsa-miR-526a+hsa-miR-518c-5p+hsa-miR-518d-5p,MIMAT0002845,miRNA,20,20.41,20,20,20,20
hsa-miR-539-3p,MIMAT0022705,miRNA,20,20,20,20,20,23.63
hsa-miR-542-5p,MIMAT0003340,miRNA,21.26,23.39,41.24,23.2,40.71,21.29
hsa-miR-543,MIMAT0004954,miRNA,127.18,111.87,91.71,95.75,54.79,87.3
hsa-miR-544a,MIMAT0003164,miRNA,20,21.07,20,20,20,20
hsa-miR-548a-3p,MIMAT0003251,miRNA,25.61,24.87,20,20,20,21.8
hsa-miR-548a-5p,MIMAT0004803,miRNA,57.53,63.87,30.59,45.05,41.45,37.91
hsa-miR-548aa+hsa-miR-548t-3p,MIMAT0018447,miRNA,84.2,97.15,81.48,87.46,177.48,71.41
hsa-miR-548ah-5p,MIMAT0018972,miRNA,32.44,35.57,25.75,29.79,20.97,24.56
hsa-miR-548ai+hsa-miR-570-5p,MIMAT0018989,miRNA,86.86,99.95,73.87,77.65,83.13,65.93
hsa-miR-548ar-5p,MIMAT0022265,miRNA,121.84,125.49,65.07,89.72,46.21,87.18
hsa-miR-548c-5p+hsa-miR-548o-5p+hsa-miR-548am-5p,MIMAT0004806,miRNA,20,20,21.34,20,20,20
hsa-miR-548e-3p,MIMAT0005874,miRNA,20,20,20,20,20,24.3
hsa-miR-548g-3p,MIMAT0005912,miRNA,56.93,59.4,46.55,53.43,82.28,49.64
hsa-miR-548i,MIMAT0005935,miRNA,21.26,21.07,20,20,20,20
hsa-miR-548j-3p,MIMAT0026737,miRNA,102.19,97.03,54.07,78.79,39.29,66.95
hsa-miR-548j-5p,MIMAT0005875,miRNA,21.42,24.68,24.13,25.6,28.14,20
hsa-miR-548n,MIMAT0005916,miRNA,102.67,114.5,95.36,103.33,199.56,70.1
hsa-miR-548q,MIMAT0011163,miRNA,26.49,36.23,30.15,34.82,45.93,24.59
hsa-miR-548z+hsa-miR-548h-3p,MIMAT0018446,miRNA,74.36,81.91,44.47,57.01,30.87,57.96
hsa-miR-549a,MIMAT0003333,miRNA,46.92,50.32,42.42,56.95,96.65,38.12
hsa-miR-551b-3p,MIMAT0003233,miRNA,20,20,23.08,20,20,20
hsa-miR-556-3p,MIMAT0004793,miRNA,20,20,20,20,20,25.62
hsa-miR-561-5p,MIMAT0022706,miRNA,44.11,50.08,41.68,47.25,42.3,38.61
hsa-miR-570-3p,MIMAT0003235,miRNA,20,20,21.78,20,28.4,20
hsa-miR-574-3p,MIMAT0003239,miRNA,90.02,88.21,90.41,60.9,110.4,80.74
hsa-miR-574-5p,MIMAT0004795,miRNA,84.48,99.99,107.22,101.84,87.87,89.33
hsa-miR-576-5p,MIMAT0003241,miRNA,20,20,20,20,20,24.06
hsa-miR-579-3p,MIMAT0003244,miRNA,20,20,20,20,26.25,20
hsa-miR-582-3p,MIMAT0004797,miRNA,20.24,21.38,20,20,22.98,20
hsa-miR-585-3p,MIMAT0003250,miRNA,20,22.83,20,20,20,20
hsa-miR-587,MIMAT0003253,miRNA,20,20,20,23.94,20,20
hsa-miR-590-5p,MIMAT0003258,miRNA,33.61,38.16,35.23,40.32,48.8,31.7
hsa-miR-592,MIMAT0003260,miRNA,20,20,20,20,20,38.21
hsa-miR-597-5p,MIMAT0003265,miRNA,20,25.28,20,23.02,24.22,20
hsa-miR-598-3p,MIMAT0003266,miRNA,20,21.38,20,34.11,21.23,20
hsa-miR-603,MIMAT0003271,miRNA,68.31,83.35,54.21,58.36,64.53,44.28
hsa-miR-608,MIMAT0003276,miRNA,20,20,20,20,20,27.23
hsa-miR-612,MIMAT0003280,miRNA,20,20,20,20,20,24.01
hsa-miR-615-5p,MIMAT0004804,miRNA,20,20,20,20,20,21.29
hsa-miR-617,MIMAT0003286,miRNA,21.09,20.41,20,20,20,21.04
hsa-miR-619-3p,MIMAT0003288,miRNA,20,20,20,20,20,20.36
hsa-miR-627-5p,MIMAT0003296,miRNA,245.05,267.99,157.24,190.77,172.21,160.97
hsa-miR-644a,MIMAT0003314,miRNA,50.05,59.15,44.28,56.55,87.66,40.63
